"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\src\main.cpp", "C++", 1687, 122, 245, 2054
"Total", "-", 1687, 122, 245, 2054
